ANNO;TRIMESTRE;ID_EMPRESA;DESC_EMPRESA;ID_MUNICIPIO;DESC_MUNICIPIO;COORD_GEO_LATITUD_WGS84;COORD_GEO_LONGITUD_WGS84;DIRECCION;INDICADOR_TASA_DATO_MEDIA_HTTP
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;13001;CARTAGENA;"10°23'57.5016"" N";"75°29'40.2"" O";Carrera 58 # 30F-45;4848,88
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5360;ITAGUI;"6°10'17.04"" N";"75°36'43.2"" O";CARRERA 50A # 46-89, PARQUEADERO LA 50;4846,01
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;11001;BOGOTÁ, D.C.;"4°41'0.312"" N";"74°3'52.596"" O";Calle 94 # 39 - 35;4844,81
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;66170;DOSQUEBRADAS;"4°50'43.8"" N";"75°39'41.76"" O";Calle 67 # 15 B - 19;4835,92
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;76834;TULUÁ;"4°5'24.216"" N";"76°12'32.4"" O";CALLE 26A # 8-56;4813,6
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;13001;CARTAGENA;"10°24'44.64"" N";"75°32'11.04"" O";Avenida Jimenez # 21-163 Barrio Manga;4802,74
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;52788;TANGUA;"1°5'47.1012"" N";"77°23'3.5988"" O";IE.Finca la Cruz;4768,58
2018;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;68081;BARRANCABERMEJA;704.942;-738.469;Carrera 34 # 39A - 01;4755,75
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 26' 28''N;75° 12' 31''O;Clle 4 Av. Guavinal No. 43 - 52;4729,17
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"11°0'51.444"" N";"74°48'46.872"" O";CARRERA 64B # 85 - 62;4721,22
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5306;GIRALDO;"6°40'32.0808"" N";"75°56'57.12"" O";finca el Roble al lado de la cancha de Futbol vereda la Sierra_ubicacion-1;4712,76
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5088;BELLO;"6°19'6.78"" N";"75°33'27.72"" O";Carrera 50 # 29 A 39;4691,52
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;73001;IBAGUÉ;"4°26'27.708"" N";"75°12'30.816"" O";Clle 4 Av. Guavinal # 43 - 52;4691,45
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 13' 59''N;75° 35' 53''O;CL 32 N° 77-51 EDIFICIO ACALANTO;4664,93
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5266;ENVIGADO;6° 10' 58''N;75° 35' 15''O;Carrera 48 No. 26Sur-181, Centro Integral Las Vegas;4653,01
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25754;SOACHA;"4°34'26.292"" N";"74°12'59.58"" O";CALLE 12 # 1A - 48 ESTE SOACHA;4645,3
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;76520;PALMIRA;"3°30'58.788"" N";"76°18'8.64"" O";CRA 29 # 17-35;4636,46
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;54001;CÚCUTA;"7°53'45.672"" N";"72°28'56.604"" O";Avenida 3 # 9 - 20;4630,32
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;25175;CHÍA;4° 52' 32''N;74° 03' 01''O;VIA ANTIGUA CHIA CAJICA;4595,03
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;15189;CIÉNEGA;"5°26'42.0"" N";"73°18'36.0"" O";Finca El Rosal, Vereda El Rosal de Soraca_ubicacion-2;4576,62
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5088;BELLO;"6°20'12.48"" N";"75°33'48.96"" O";Carrera 56 # 52C - 50 Barrio el Rosario Bello;4572,65
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;47001;SANTA MARTA;"11°11'27.24"" N";"74°13'24.06"" O";Calle 10 # 14 - 28. Barrio Gaira;4568,6
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;47001;SANTA MARTA;"11°11'34.584"" N";"74°13'41.736"" O";CARRERA 2 #20 - 32;4563,38
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;54599;RAGONVALIA;"7°33'14.4"" N";"72°28'1.2"" O";Cerro Montegrande, Vereda Montegrande, Municipio de Herran_ubicacion-2;4549,59
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;15740;SIACHOQUE;"5°32'52.8"" N";"73°12'36.0"" O";Finca Buenos Aires_ubicacion-2;4548,9
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;66170;DOSQUEBRADAS;4° 48' 34''N;75° 39' 57''O;Vereda Frayles, Finca la Giralda;4506,3
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;68867;VETAS;"7°20'14.892"" N";"72°52'30.576"" O";VEREDA EL CHOPO FINCA SAMAGO_ubicacion-1;4490,21
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;52560;POTOSÍ;"0°48'24.6996"" S";"77°34'51.3012"" O";IE.Barrio Bellavista Corregimiento de las Lajas;4487,97
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 26' 50''N;75° 10' 44''O;Clle 95 B, Carrera 14 La Gaviota;4483,53
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;76001;CALI;"3°23'22.8012"" N";"76°32'47.4"" O";Calle 4 # 75-46;4470,54
2018;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;68276;FLORIDABLANCA;708.741;-731.071;Calle 114 Cra 31 Paralelo Autopista;4464,35
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;52320;GUAITARILLA;"1°7'40.4004"" N";"77°32'58.9992"" O";IE.Cra 6#1-05;4461,96
